model_code_name,model_display_name,metric,estimate,ci_low,ci_high,bootstrap_iterations
transfer,Transfer learning,F1,0.72,0.6387208150558935,0.7909604519774012,2000
transfer,Transfer learning,ECE,0.0643030730272614,0.05019406883580434,0.07968167428780418,2000
transfer,Transfer learning,Brier score,0.04748126776882521,0.037203765015631954,0.058350610004446364,2000
hybrid_vit,Hybrid ViT,balanced_accuracy,0.8713007209926225,0.8233523659331262,0.9176524151440916,2000
hybrid_vit,Hybrid ViT,MCC,0.6789816746969008,0.5898289406579388,0.7585235578761709,2000
hybrid_vit,Hybrid ViT,AUC,0.9621688464118041,0.9375652727658671,0.9813957808476468,2000
hybrid_vit,Hybrid ViT,recall,0.7887323943661971,0.6923076923076923,0.8840579710144928,2000
hybrid_vit,Hybrid ViT,specificity,0.9538690476190477,0.9376854599406528,0.9690276890794635,2000
hybrid_vit,Hybrid ViT,F1,0.7088607594936709,0.6225091979396615,0.7817340231680333,2000
hybrid_vit,Hybrid ViT,ECE,0.036793222438418836,0.027363211081116133,0.05383087061086214,2000
hybrid_vit,Hybrid ViT,Brier score,0.04557800229987542,0.03397082529535282,0.057985021506141356,2000
focus_dnn,Focus-DNN,balanced_accuracy,0.7247442991281019,0.6656059873506353,0.7826266114420012,2000
focus_dnn,Focus-DNN,MCC,0.35102679935287645,0.25566969710320653,0.44290806765438506,2000
focus_dnn,Focus-DNN,AUC,0.9079896042924213,0.8729457310991822,0.938550166350536,2000
focus_dnn,Focus-DNN,recall,0.5774647887323944,0.46265786452353624,0.6911764705882353,2000
focus_dnn,Focus-DNN,specificity,0.8720238095238095,0.845925925925926,0.8968609865470852,2000
focus_dnn,Focus-DNN,F1,0.41414141414141414,0.3225716845878136,0.4974644051009038,2000
focus_dnn,Focus-DNN,ECE,0.2582398968100708,0.23880382982517617,0.278726542237043,2000
focus_dnn,Focus-DNN,Brier score,0.14928702881747297,0.1382667562297745,0.1610036936346203,2000
classical_ml,Classical ML,balanced_accuracy,0.7523788564721663,0.6947923143259189,0.8108165939428469,2000
classical_ml,Classical ML,MCC,0.6036479829464343,0.4943906153709976,0.7037003121752864,2000
classical_ml,Classical ML,AUC,0.8568494299128102,0.8149082361592606,0.8947914257211134,2000
classical_ml,Classical ML,recall,0.5211267605633803,0.4062386775362319,0.6388888888888888,2000
classical_ml,Classical ML,specificity,0.9836309523809523,0.9731343283582089,0.992548435171386,2000
classical_ml,Classical ML,F1,0.6218487394957983,0.5154639175257733,0.7179611650485437,2000
classical_ml,Classical ML,ECE,0.18296410197622107,0.16785805302756718,0.20657254169502387,2000
classical_ml,Classical ML,Brier score,0.11464202874716851,0.10542022273565196,0.12431360025645848,2000
threshold_baselines,Threshold baselines,balanced_accuracy,0.718791918175721,0.6595412410048528,0.7768356394642767,2000
threshold_baselines,Threshold baselines,MCC,0.3336233266216543,0.24054094369495735,0.42618740419843,2000
threshold_baselines,Threshold baselines,AUC,0.6903294768611671,0.6188388637213245,0.763283463654546,2000
threshold_baselines,Threshold baselines,recall,0.5774647887323944,0.46153846153846156,0.6911810094408133,2000
threshold_baselines,Threshold baselines,specificity,0.8601190476190477,0.8333333333333334,0.8860579140902921,2000
threshold_baselines,Threshold baselines,F1,0.39805825242718446,0.3108628189853426,0.48182629870129867,2000
threshold_baselines,Threshold baselines,ECE,0.18314409106568724,0.15913240730180878,0.20676401235428943,2000
threshold_baselines,Threshold baselines,Brier score,0.1500253314290919,0.12857108863363492,0.17189021454520043,2000
