selection_rule,threshold,validation_balanced_accuracy,validation_ECE,validation_MCC,selection_family,constraint_satisfied,lambda,delta,model_code_name,model_display_name,CAOPS_score
max_MCC,0.62,0.6819444444444445,0.24627778938408634,0.3531579117518386,reference,,,,vit,ViT,
CAOPS_penalty_lambda_0.0,0.45,0.7056159420289855,0.23130291367112843,0.3207604860474742,CAOPS_penalty,,0.0,,vit,ViT,0.7056159420289855
CAOPS_penalty_lambda_0.1,0.45,0.7056159420289855,0.23130291367112843,0.3207604860474742,CAOPS_penalty,,0.1,,vit,ViT,0.6824856506618726
CAOPS_penalty_lambda_0.25,0.45,0.7056159420289855,0.23130291367112843,0.3207604860474742,CAOPS_penalty,,0.25,,vit,ViT,0.6477902136112034
CAOPS_penalty_lambda_0.5,0.45,0.7056159420289855,0.23130291367112843,0.3207604860474742,CAOPS_penalty,,0.5,,vit,ViT,0.5899644851934213
CAOPS_penalty_lambda_1.0,0.45,0.7056159420289855,0.23130291367112843,0.3207604860474742,CAOPS_penalty,,1.0,,vit,ViT,0.47431302835785705
CAOPS_constraint_delta_0.025,0.43,0.683756038647343,0.23130291367112837,0.2257154451655845,CAOPS_constraint,False,,0.025,vit,ViT,
CAOPS_constraint_delta_0.05,0.43,0.683756038647343,0.23130291367112837,0.2257154451655845,CAOPS_constraint,False,,0.05,vit,ViT,
CAOPS_constraint_delta_0.075,0.43,0.683756038647343,0.23130291367112837,0.2257154451655845,CAOPS_constraint,False,,0.075,vit,ViT,
CAOPS_constraint_delta_0.1,0.43,0.683756038647343,0.23130291367112837,0.2257154451655845,CAOPS_constraint,False,,0.1,vit,ViT,
