trial_id,score,status,num_blocks,filters_base,kernel_size,dropout,batchnorm,dense_units,l2_reg,optimizer,learning_rate,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,family,tuner_type,objective,batch_size,epochs_configured,learning_rate_std,optimizer_std,dropout_std,dense_units_std,depth_std,backbone_std,score_rank_within_family,attention_type,se_ratio,attention_placement,spatial_kernel,num_layers,units,activation,l2,backbone_choice,focus_units,fusion_layers,fusion_units,fusion_dropout,unfreeze_top
28,0.8416968584060669,COMPLETED,2.0,64.0,3.0,0.2,1.0,64.0,0.0005976957854363,adam,0.0009686835974584,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0009686835974584,adam,0.2,64,2,,64.0,,,,,,,,,,,,,,
80,0.8380938172340393,COMPLETED,4.0,24.0,3.0,0.3,1.0,128.0,0.0008434983763243,rmsprop,0.0002934119572145,17.0,0.0,1.0,0.0,,cnn,hyperband,val_auc,32,50,0.0002934119572145,rmsprop,0.3,128,4,,65.0,,,,,,,,,,,,,,
79,0.8339170813560486,COMPLETED,5.0,48.0,5.0,0.4,1.0,64.0,0.0004223019695992,adam,0.0007693918240972,17.0,0.0,1.0,0.0,,cnn,hyperband,val_auc,32,50,0.0007693918240972,adam,0.4,64,5,,66.0,,,,,,,,,,,,,,
81,0.830173134803772,COMPLETED,2.0,16.0,5.0,0.4,0.0,128.0,2.123170899159055e-05,adam,0.0005638290830547,17.0,0.0,1.0,0.0,,cnn,hyperband,val_auc,32,50,0.0005638290830547,adam,0.4,128,2,,67.0,,,,,,,,,,,,,,
61,0.8292069435119629,COMPLETED,4.0,24.0,5.0,0.2,1.0,64.0,0.000984169765024,adam,0.0005777924549217,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0005777924549217,adam,0.2,64,4,,68.0,,,,,,,,,,,,,,
0,0.8278683423995972,COMPLETED,4.0,16.0,3.0,0.1,0.0,64.0,0.0005481578284163,adam,0.0005477829118827,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0005477829118827,adam,0.1,64,4,,69.0,,,,,,,,,,,,,,
62,0.8259359002113342,COMPLETED,2.0,32.0,3.0,0.0,1.0,192.0,0.0003088946587429,rmsprop,0.0008085968034658,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0008085968034658,rmsprop,0.0,192,2,,70.0,,,,,,,,,,,,,,
86,0.8184379935264587,COMPLETED,5.0,64.0,5.0,0.0,1.0,192.0,7.624563725702283e-05,adam,0.0009505829758341,50.0,0.0,0.0,0.0,,cnn,hyperband,val_auc,32,50,0.0009505829758341,adam,0.0,192,5,,71.0,,,,,,,,,,,,,,
9,0.8134762644767761,COMPLETED,2.0,64.0,5.0,0.2,1.0,256.0,0.0005860977684559,rmsprop,0.0003838916699231,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0003838916699231,rmsprop,0.2,256,2,,72.0,,,,,,,,,,,,,,
70,0.8126106858253479,COMPLETED,2.0,48.0,3.0,0.0,1.0,256.0,0.0004793919807025,adam,0.0005645749485234,17.0,6.0,2.0,1.0,55.0,cnn,hyperband,val_auc,32,50,0.0005645749485234,adam,0.0,256,2,,73.0,,,,,,,,,,,,,,
