selection_rule,threshold,validation_accuracy,validation_balanced_accuracy,validation_MCC,validation_F1,validation_Youden_J,validation_recall,validation_specificity,model_code_name,model_display_name
max_MCC,0.4,0.9566929133858267,0.944987922705314,0.7880327988639226,0.8023952095808383,0.8899758454106279,0.9305555555555556,0.9594202898550724,cnn_focus_hybrid,CNN--focus hybrid
fixed_0p50,0.5,0.9383202099737533,0.9286231884057972,0.7217452144678853,0.7374301675977653,0.8572463768115943,0.9166666666666666,0.9405797101449276,transfer,Transfer learning
Youden_J,0.3,0.9173228346456693,0.9481280193236715,0.6906718333590842,0.6926829268292682,0.896256038647343,0.9861111111111112,0.9101449275362319,transfer,Transfer learning
max_F1,0.73,0.9619422572178478,0.8794685990338165,0.7735804229454201,0.7943262411347518,0.7589371980676329,0.7777777777777778,0.981159420289855,transfer,Transfer learning
max_balanced_accuracy,0.3,0.9173228346456693,0.9481280193236715,0.6906718333590842,0.6926829268292682,0.896256038647343,0.9861111111111112,0.9101449275362319,transfer,Transfer learning
max_MCC,0.73,0.9619422572178478,0.8794685990338165,0.7735804229454201,0.7943262411347518,0.7589371980676329,0.7777777777777778,0.981159420289855,transfer,Transfer learning
fixed_0p50,0.5,0.931758530183727,0.91256038647343,0.6920023392867989,0.711111111111111,0.8251207729468599,0.8888888888888888,0.936231884057971,hybrid_vit,Hybrid ViT
Youden_J,0.28,0.9120734908136483,0.9203502415458937,0.6557455927684194,0.6666666666666667,0.8407004830917875,0.9305555555555556,0.9101449275362319,hybrid_vit,Hybrid ViT
max_F1,0.74,0.9488188976377953,0.9095410628019324,0.7388159896688318,0.7607361963190185,0.8190821256038647,0.8611111111111112,0.9579710144927536,hybrid_vit,Hybrid ViT
max_balanced_accuracy,0.28,0.9120734908136483,0.9203502415458937,0.6557455927684194,0.6666666666666667,0.8407004830917875,0.9305555555555556,0.9101449275362319,hybrid_vit,Hybrid ViT
max_MCC,0.74,0.9488188976377953,0.9095410628019324,0.7388159896688318,0.7607361963190185,0.8190821256038647,0.8611111111111112,0.9579710144927536,hybrid_vit,Hybrid ViT
fixed_0p50,0.5,0.821522309711286,0.702415458937198,0.3024746502072529,0.3703703703703704,0.40483091787439607,0.5555555555555556,0.8492753623188406,focus_dnn,Focus-DNN
Youden_J,0.41,0.6430446194225722,0.7780193236714976,0.32758298314632717,0.33333333333333337,0.5560386473429952,0.9444444444444444,0.6115942028985507,focus_dnn,Focus-DNN
max_F1,0.79,0.9094488188976378,0.694987922705314,0.4268004154383579,0.4732824427480916,0.3899758454106279,0.4305555555555556,0.9594202898550724,focus_dnn,Focus-DNN
max_balanced_accuracy,0.41,0.6430446194225722,0.7780193236714976,0.32758298314632717,0.33333333333333337,0.5560386473429952,0.9444444444444444,0.6115942028985507,focus_dnn,Focus-DNN
max_MCC,0.82,0.9291338582677166,0.6498792270531402,0.4829883471102914,0.44897959183673475,0.2997584541062803,0.3055555555555556,0.9942028985507246,focus_dnn,Focus-DNN
fixed_0p50,0.5,0.9330708661417323,0.7702294685990339,0.5825451219480335,0.6165413533834587,0.5404589371980677,0.5694444444444444,0.9710144927536232,classical_ml,Classical ML
Youden_J,0.46,0.931758530183727,0.7757246376811595,0.5815387594160228,0.6176470588235293,0.551449275362319,0.5833333333333334,0.9681159420289855,classical_ml,Classical ML
max_F1,0.71,0.94750656167979,0.7657608695652174,0.6527943672369048,0.6610169491525423,0.5315217391304348,0.5416666666666666,0.9898550724637681,classical_ml,Classical ML
max_balanced_accuracy,0.46,0.931758530183727,0.7757246376811595,0.5815387594160228,0.6176470588235293,0.551449275362319,0.5833333333333334,0.9681159420289855,classical_ml,Classical ML
max_MCC,0.71,0.94750656167979,0.7657608695652174,0.6527943672369048,0.6610169491525423,0.5315217391304348,0.5416666666666666,0.9898550724637681,classical_ml,Classical ML
fixed_0p50,0.5,0.7860892388451444,0.6952898550724638,0.2716204081071392,0.3400809716599191,0.39057971014492754,0.5833333333333334,0.8072463768115942,threshold_baselines,Threshold baselines
Youden_J,0.64,0.8280839895013123,0.7184782608695652,0.3273525106212383,0.39069767441860465,0.43695652173913047,0.5833333333333334,0.8536231884057971,threshold_baselines,Threshold baselines
max_F1,0.82,0.8569553805774278,0.7095410628019323,0.34492792947602263,0.41081081081081083,0.4190821256038646,0.5277777777777778,0.8913043478260869,threshold_baselines,Threshold baselines
max_balanced_accuracy,0.64,0.8280839895013123,0.7184782608695652,0.3273525106212383,0.39069767441860465,0.43695652173913047,0.5833333333333334,0.8536231884057971,threshold_baselines,Threshold baselines
max_MCC,0.82,0.8569553805774278,0.7095410628019323,0.34492792947602263,0.41081081081081083,0.4190821256038646,0.5277777777777778,0.8913043478260869,threshold_baselines,Threshold baselines
fixed_0p50,0.5,0.8727034120734908,0.6809178743961353,0.32953362090086674,0.39751552795031053,0.36183574879227054,0.4444444444444444,0.9173913043478261,vit,ViT
Youden_J,0.45,0.8385826771653543,0.7056159420289855,0.3207604860474742,0.3880597014925373,0.41123188405797095,0.5416666666666666,0.8695652173913043,vit,ViT
max_F1,0.48,0.8713910761154856,0.6988526570048309,0.35057380021732815,0.41666666666666663,0.3977053140096618,0.4861111111111111,0.9115942028985508,vit,ViT
max_balanced_accuracy,0.45,0.8385826771653543,0.7056159420289855,0.3207604860474742,0.3880597014925373,0.41123188405797095,0.5416666666666666,0.8695652173913043,vit,ViT
max_MCC,0.62,0.8858267716535433,0.6819444444444445,0.3531579117518386,0.4161073825503356,0.36388888888888893,0.4305555555555556,0.9333333333333333,vit,ViT
